101	Adventure Sports Unlimited	One session of group swim lessons	Adventure Sports Unlimited	145	58	15	181
102	Agile Monkey	Private Introduction/Assessment and Follow-up Session	Agile Monkey	85	34	9	106
103	Surf's Up	2hr Group Surf Lesson at Club Ed Surf School & Camps (under age 12 - 1hr private lesson)	Club Ed Surf School & Camps	120	48	12	150
104	Dancecenter Dance Classes	One month of dance classes OR one 6-week summer session (one class per week)	Dance Center	56	22	6	70
105	Tutoring Sessions	5 Tutoring Sessions at Develpmental Learning Solutions	Developmental Learning Solutions	250	100	25	313
106	June Bugs Gymnastics	One Month of Gymnastics Class	June Bugs Gymnastics	58	23	6	73
107	Kennolyn Camp	$375 Towards Day Camps	Kennolyn Camp	375	150	38	469
108	Luma Yoga	Pass for 5 Classes	Luma Yoga	80	32	8	100
109	Pacific Arts Complex	$150 Gift Certificate	Pacific Arts Complex	150	60	15	188
110	Climb High	"Kids Class, Studio Class, Basic Safety Class"	Pacific Edge Climbing Gym	66	26	7	83
111	Tiger Martial Arts	Six Weeks Martial Arts Session Plus a Uniform	Tiger Martial Arts	149	60	15	186
112	Vargas Academy	Open Gym Punch Card	Vargas Academy	150	60	15	188
113	Wings School of Dance	One Month of Dance Classes with Leotard & Tights	Wings School of Dance	160	64	16	200
114	Health & Fitness 1	30 Minute Session in a Salt Water Therapy Pool at North Bay Physical Therapy	Heather Griffin - North Bay Physical Therapy	100	40	10	125
115	Health & Fitness 2	"8-Sessions of Physical Therapy at Rocky's Fitness Center, Antics Video, ""Fit to Ski & Snowboard"" book"	Rocky's Fitness Center	200	80	20	250
116	Children's Yoga with Courtney	Group Yoga Session	Children's Yoga with Courtney	265	106	27	331
117	Health & Fitness 3	"Look Younger. Feel Stronger. Live Longer. Wright Now Fitness presents this one-of-a-kind anti-aging 9 disc cross training system that combines strength training, stretching, core and abdominal exercises, bursts of cardio and our awesome 8-minute cool down to get you in the BEST shape of your life. Includes 9 long workouts (45 minutes), 9 short workouts (25 minutes), a nutrition plan, 170-page cross training manual, thera-band, exercise band and ball."	Wright Family - Wright Now Fitness	175	70	18	219
118	Make a Move & Dance	10 Class Pass for Rhythm & Motion Dance Fitness and 1 Month of Youth/Teen Classes During Open Enrollment September or January	Motion Pacific	200	80	20	250
119	Asian Art Museum	2 Guest Admissions	Asian Art Museum	50	20	5	63
120	Seabreeze Sailing 	2 Passes on the 70-foot Sailing Yacht Chardonnay II and Breakfast or Lunch for 2 at Linda's Seabreeze Cafe	"Chardonnay Sailing Charters, Linda's Seabreeze Cafe"	150	60	15	188
121	Family Fun 1	4 Admissions Passes to the Children's Discovery Museum in ???	Children's Discovery Museum	52	21	5	65
122	Family Fun 2	4 Admissions Passes to Children's Fairyland in Oakland	Children's Fairyland	40	16	4	50
123	Cinelux	"4 Courtesy Passes (expires 9/30/2017) to any Cinelux Theater, $20 Gift Card to Regal Cinemas"	"Cinelux, Wright Family"	58	23	6	73
124	Contemporary Jewish Museum 	4 Guest Passes	Contemporary Jewish Museum 	56	22	6	70
125	Family Fun 3	2 Single Day Admissions Passes to Gilroy Gardens	Gilroy Gardens	110	44	11	138
126	Happy Hollow	4 Admissions Passes to Happy Hollow in San Jose	Happy Hollow	57	23	6	71
127	Hearst Castle	"Grand Rooms Complimentary Pass for 2 Includes tour of Hearst Castle and screening of Hearst Castle Theater movie ""Building the Dream"""	Hearst San Simeon State Historical Monument	50	20	5	63
128	Hiller Aviation Museum	2 VIP Passes good for 4 admissions to the Hiller Aviation Museum in San Carlos	Hiller Aviation Museum	60	24	6	75
129	Bagels and Boats	2 $5 Certificates to The Bagelry and a 1/2 day double kayak rental from Kayak Connection	"The Bagelry, Kayak Connection"	65	26	7	81
130	Jazzy Night	2 Tickets to a Concert Production at the Kuumbwa Jazz Center and a $25 Gift Certificate to Gabriella Cafe (expires 7/31/17)	"Kuumbwa Jazz Center, Gabriella Cafe"	75	30	8	94
131	Movie and A Bite	4 VIP Guest Passes to any Landmark Theater (expires 12/31/17) and a $25 Gift Card to Betty Burgers	"Landmark Theaters, Betty Burgers"	67	27	7	84
132	Brazilian Night	Brazilian Night	Lenise Orejuela	250	100	25	313
